Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
1,STM32F446RET6,STMicroelectronics,STM32F446RET6,https://octopart.com/stm32f446ret6-stmicroelectronics-52642920,U1,,"ARM® Cortex®-M4 32b MCU+FPU, 225DMIPS, up to 512kB Flash/128+4KB RAM, USB OTG HS/FS, 17 TIMs, 3 ADCs, 20 comm. interfaces",1,497-15376-ND,STM32F446RET6,,Tray,,,8.083593729999999,8.07418326,,1547,1160,,1,,,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=0c01cb9&sid=459&ppid=52642920&vpid=192760045&ct=offers,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=09251e1&sid=2401&ppid=52642920&vpid=194122242&ct=offers,,Avnet,STM32F446RET6,,5.756328036179999,5.756328036179999,5.756328036179999,0,1,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=03496af&sid=5822&ppid=52642920&vpid=191351830&ct=offers,
4,WS2812B,Adafruit Industries,WS2812B,https://octopart.com/ws2812b-adafruit+industries-56784166,D6.D7.D8.D9,,TRIANGLE RGB LED BRICK WS2812B,4,,,43Y4720,,,,,,6.69084417,,,358,,,1,,,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=0d02756&sid=2402&ppid=56784166&vpid=265588893&ct=offers,Newark,43Y4720,,6.69084417,26.76337668,26.76337668,358,1,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=0d02756&sid=2402&ppid=56784166&vpid=265588893&ct=offers,
2,PTS645SH50SMTRLFS,C&K Components,PTS645SH50SMTRLFS,https://octopart.com/pts645sh50smtrlfs-c%26k+components-1197398,SW1.SW2,,SWITCH TACTILE SPST-NO 0.05A 12V,2,,,,,,,,,,,,,,,,,,,Allied Electronics,E5537336,Bulk,0.1882094,0.3764188,0.3764188,0,1,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=05ec1f8&sid=14&ppid=1197398&vpid=225655944&ct=offers,
7,PPPC041LFBN-RC,Sullins,PPPC041LFBN-RC,https://octopart.com/pppc041lfbn-rc-sullins-271053,"JP1,JP3,JP9,P4,P5,P6,P7",,"CONN HEADER FEMALE 4POS .1"" GOLD""",7,S7037-ND,,,Tray,,,0.5834491399999999,,,26824,,,1,,,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=038629e&sid=459&ppid=271053&vpid=1385044&ct=offers,,,Digi-Key,S7037-ND,Tray,0.5834491399999999,4.0841439799999995,4.0841439799999995,26824,1,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=038629e&sid=459&ppid=271053&vpid=1385044&ct=offers,
3,PPTC031LFBN-RC,Sullins,PPTC031LFBN-RC,https://octopart.com/pptc031lfbn-rc-sullins-271020,"JP8,P11,P12",,"CONN HEADER FEMALE 3POS .1"" TIN""",3,S7001-ND,,,Tray,,,0.60227008,,,14080,,,1,,,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=0f17973&sid=459&ppid=271020&vpid=2112244&ct=offers,,,Heilind Electronics,SULPPTC031LFBN-RC,,0.2576586686,0.7729760057999999,0.7729760057999999,12,0,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=09d1300&sid=8539&ppid=271020&vpid=20597427&ct=offers,
2,PPTC041LGBN-RC,Sullins,PPTC041LGBN-RC,https://octopart.com/pptc041lgbn-rc-sullins-270344,"JP2,JP7",,"CONN FEMALE 4POS .100"" R/A TIN""",2,S5440-ND,,,Tray,,,0.6869643099999999,,,7026,,,1,,,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=0633e18&sid=459&ppid=270344&vpid=1833182&ct=offers,,,Digi-Key,S5440-ND,Tray,0.6869643099999999,1.3739286199999998,1.3739286199999998,7026,1,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=0633e18&sid=459&ppid=270344&vpid=1833182&ct=offers,
1,PPPC031LGBN-RC,Sullins,PPPC031LGBN-RC,https://octopart.com/pppc031lgbn-rc-sullins-270382,P1,,"CONN FEMALE 3POS .100"" R/A GOLD""",1,S5478-ND,,,Tray,,,0.63050149,,,1740,,,1,,,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=0cfebd0&sid=459&ppid=270382&vpid=1140041&ct=offers,,,Digi-Key,S5478-ND,Tray,0.63050149,0.63050149,0.63050149,1740,1,https://octopart.com/click/track?c=1&country=DE&ak=68b25f31&sig=0cfebd0&sid=459&ppid=270382&vpid=1140041&ct=offers,
4,VAOL-S8SB4,VCC,VAOL-S8SB4,https://octopart.com/vaol-s8sb4-vcc-11855049,"D2,D3,D4,D5",,"Rectangle with Flat Top, 2.00mm x 1.25mm",4,VAOL-S8SB4CT-ND,VAOL-S8SB4,,Cut Tape,,,0.44229208999999997,0.31995598000000003,,1329,639,,1,,,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=0603068&sid=459&ppid=11855049&vpid=97283745&ct=offers,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=0b3fcf6&sid=2401&ppid=11855049&vpid=37785716&ct=offers,,Onlinecomponents.com,VAOL-S8SB4,Bulk,0.14209809699999998,0.5683923879999999,0.5683923879999999,2333,1,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=0ab3ce6&sid=2429&ppid=11855049&vpid=194577501&ct=offers,
9,C0805C104K3RACTU,KEMET,C0805C104K3RACTU,https://octopart.com/c0805c104k3ractu-kemet-136827,"C2,C3,C8,C9,C10,C11,C12,C13,C14",,CAP CER 0.1UF 50V Y5V 0805,9,399-1168-1-ND,C0805C104K3RACTU,,Cut Tape,,,0.0941047,0.0941047,,1283408,259489,,1,,,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=013ef88&sid=459&ppid=136827&vpid=1043869&ct=offers,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=06ed2fe&sid=2401&ppid=136827&vpid=44736962&ct=offers,,ExcessParts.Net,C0805C104K3RACTU,,0.00941047,0.08469423000000001,0.08469423000000001,3597,,https://octopart.com/click/track?country=DE&ak=68b25f31&sig=06d0287&sid=13803&ppid=136827&vpid=53541888&ct=offers,
